,pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
0,1040.0,4,-34.5,-36.1,140.0,4.0,-2.571150438746158,3.0641777724759116,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
1,1035.0,39,-31.5,-36.2,139.0,5.0,-3.2802951449525364,3.77354790111386,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
2,1021.0,139,-25.9,-28.2,138.0,10.0,-6.691306063588583,7.43144825477394,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
3,1013.0,198,-23.7,-24.9,137.0,12.0,-8.183980320749981,8.776244419430046,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
4,1000.0,295,-22.5,-23.8,135.0,16.0,-11.313708498984761,11.31370849898476,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
5,998.6,305,-22.4,-23.8,135.0,17.0,-12.020815280171309,12.020815280171307,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
6,977.0,467,-20.1,-23.4,130.0,16.0,-12.25671108990365,10.284601754984628,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
7,969.0,528,-19.3,-27.3,128.0,16.0,-12.608172057707552,9.850583605210531,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
8,961.0,590,-18.5,-26.5,126.0,15.0,-12.135254915624213,8.816778784387095,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
9,958.4,610,-18.4,-26.9,125.0,15.0,-12.287280664334876,8.603646545265692,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
10,944.0,723,-18.1,-29.1,123.0,15.0,-12.58005851918136,8.169585525225406,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
11,925.0,875,-18.3,-24.3,120.0,14.0,-12.124355652982143,6.9999999999999964,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
12,920.2,914,-18.3,-24.6,120.0,13.0,-11.258330249197705,6.499999999999997,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
13,883.4,1219,-18.0,-26.7,105.0,11.0,-10.62518408917975,2.8470094961277295,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
14,850.0,1507,-17.7,-28.7,75.0,10.0,-9.659258262890683,-2.5881904510252074,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
15,830.0,1686,-15.3,-29.3,64.0,11.0,-9.886734509290838,-4.822082614679852,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
16,814.4,1829,-15.7,-29.4,55.0,12.0,-9.8298245314679,-6.882917236212554,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
17,787.0,2087,-16.5,-29.5,34.0,12.0,-6.710314841648962,-9.9484508706605,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
18,782.0,2134,-16.8,-29.8,30.0,12.0,-5.999999999999999,-10.392304845413264,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
19,750.6,2438,-18.8,-31.4,20.0,11.0,-3.762221576582356,-10.336618828644992,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
20,720.5,2743,-20.9,-33.1,0.0,16.0,-0.0,-16.0,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
21,700.0,2957,-22.3,-34.3,0.0,17.0,-0.0,-17.0,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
22,668.0,3300,-24.1,-36.1,5.0,17.0,-1.4816476267101888,-16.935309867559674,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
23,640.0,3612,-26.7,-34.7,9.0,18.0,-2.815820370724156,-17.77839013071248,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
24,635.9,3658,-26.9,-34.7,10.0,18.0,-3.125667198004746,-17.726539554219745,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
25,584.1,4267,-29.7,-34.1,350.0,19.0,3.2993153756716773,-18.711347307231954,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
26,564.0,4519,-30.9,-33.9,350.0,23.0,3.993908086339399,-22.650578319280786,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
27,550.0,4698,-30.9,-37.9,350.0,26.0,4.51485261934019,-25.60500157831741,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
28,536.2,4877,-31.9,-40.0,350.0,29.0,5.035797152340981,-28.559424837354033,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
29,500.0,5370,-34.7,-45.7,345.0,34.0,8.799847533485703,-32.84147809382832,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
30,475.0,5726,-37.1,-43.1,347.0,34.0,7.648335847691421,-33.12858220269799,PABR,70026,2003-02-14 12:00:00,71.3,-156.78,4.0,2.72
