,pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
0,1025.0,4,-21.7,-23.3,110.0,10.0,-9.396926207859085,3.420201433256687,PABR,70026,2006-02-14 12:00:00,71.3,-156.78,4.0,4.35
1,1015.0,80,-10.7,-11.4,114.0,10.0,-9.135454576426008,4.067366430758002,PABR,70026,2006-02-14 12:00:00,71.3,-156.78,4.0,4.35
2,1000.0,199,-8.1,-16.1,120.0,11.0,-9.526279441628827,5.499999999999997,PABR,70026,2006-02-14 12:00:00,71.3,-156.78,4.0,4.35
3,981.0,348,-7.1,-18.1,127.0,12.0,-9.583626120567514,7.22178027782458,PABR,70026,2006-02-14 12:00:00,71.3,-156.78,4.0,4.35
4,973.0,412,-6.3,-11.3,130.0,12.0,-9.192533317427738,7.713451316238471,PABR,70026,2006-02-14 12:00:00,71.3,-156.78,4.0,4.35
5,951.0,591,-5.7,-10.3,139.0,13.0,-8.528767376876594,9.811224542896037,PABR,70026,2006-02-14 12:00:00,71.3,-156.78,4.0,4.35
6,936.0,717,-3.5,-8.5,145.0,14.0,-8.030070108914643,11.468128620045887,PABR,70026,2006-02-14 12:00:00,71.3,-156.78,4.0,4.35
7,925.0,810,-3.9,-9.9,150.0,14.0,-6.999999999999999,12.124355652982143,PABR,70026,2006-02-14 12:00:00,71.3,-156.78,4.0,4.35
8,912.8,914,-4.6,-9.9,155.0,15.0,-6.339273926110493,13.59461680554975,PABR,70026,2006-02-14 12:00:00,71.3,-156.78,4.0,4.35
9,880.0,1202,-6.7,-9.9,164.0,16.0,-4.4101976930719875,15.380187135013102,PABR,70026,2006-02-14 12:00:00,71.3,-156.78,4.0,4.35
10,878.0,1219,-6.6,-10.5,165.0,16.0,-4.141104721640336,15.454813220625091,PABR,70026,2006-02-14 12:00:00,71.3,-156.78,4.0,4.35
11,850.0,1473,-5.5,-19.5,175.0,19.0,-1.6559591122055057,18.927699263743165,PABR,70026,2006-02-14 12:00:00,71.3,-156.78,4.0,4.35
12,844.5,1524,-5.6,-21.0,175.0,19.0,-1.6559591122055057,18.927699263743165,PABR,70026,2006-02-14 12:00:00,71.3,-156.78,4.0,4.35
13,812.1,1829,-6.3,-30.0,200.0,16.0,5.4723222932106985,15.035081932574535,PABR,70026,2006-02-14 12:00:00,71.3,-156.78,4.0,4.35
14,781.0,2134,-7.0,-39.0,220.0,15.0,9.641814145298088,11.490666646784671,PABR,70026,2006-02-14 12:00:00,71.3,-156.78,4.0,4.35
