,pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
33,250.0,9760,-57.3,-65.3,20.0,28.0,-9.576564013118723,-26.311393382005434,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
34,217.0,10668,-53.1,-61.1,10.0,21.0,-3.646611731005537,-20.680962813256368,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
35,206.9,10973,-51.7,-59.7,10.0,17.0,-2.952019020337816,-16.741731801207536,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
36,200.0,11190,-50.7,-58.7,5.0,16.0,-1.3944918839625307,-15.939115169467929,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
37,194.0,11389,-49.9,-58.9,356.0,16.0,1.1161035799060104,-15.961024804157187,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
38,179.8,11887,-49.8,-58.8,335.0,16.0,6.761892187851187,-14.5009245925864,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
39,163.7,12497,-49.8,-58.8,340.0,11.0,3.762221576582354,-10.336618828644992,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
40,150.0,13070,-49.7,-58.7,330.0,16.0,8.000000000000007,-13.856406460551014,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
41,107.5,15240,-51.2,-60.2,300.0,12.0,10.392304845413264,-6.0,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
42,102.6,15545,-51.4,-60.4,300.0,15.0,12.990381056766578,-7.5,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
43,100.0,15710,-51.5,-60.5,310.0,16.0,12.25671108990365,-10.284601754984628,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
44,97.9,15850,-51.7,-60.7,315.0,17.0,12.02081528017131,-12.020815280171307,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
45,94.6,16070,-51.9,-60.9,320.0,16.0,10.284601754984633,-12.256711089903646,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
46,89.1,16459,-51.9,-60.9,330.0,14.0,7.000000000000006,-12.124355652982137,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
47,70.0,18020,-51.7,-60.7,305.0,15.0,12.287280664334878,-8.60364654526569,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
48,64.1,18593,-52.1,-61.1,310.0,15.0,11.490666646784671,-9.641814145298088,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
49,58.3,19202,-52.6,-61.6,280.0,17.0,16.74173180120754,-2.9520190203378096,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
50,53.1,19812,-53.0,-62.0,305.0,24.0,19.659649062935802,-13.765834472425105,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
51,50.0,20200,-53.3,-62.3,305.0,22.0,18.02134497435782,-12.618681599723013,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
52,46.1,20726,-52.7,-61.9,290.0,21.0,19.733545036504076,-7.18242300983905,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
53,41.9,21336,-52.0,-61.3,305.0,27.0,22.11710519580278,-15.486563781478242,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
54,34.7,22555,-50.6,-60.3,325.0,31.0,17.780869526882437,-25.39371337295874,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
55,30.0,23500,-49.5,-59.5,315.0,27.0,19.091883092036788,-19.09188309203678,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
56,22.8,25298,-52.8,-62.8,305.0,33.0,27.03201746153673,-18.92802239958452,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
57,22.1,25485,-53.1,-63.1,,,,,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
