,pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
33,277.0,8990,-59.7,-67.7,305.0,9.0,7.372368398600926,-5.162187927159414,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
34,270.3,9144,-59.9,-67.7,300.0,9.0,7.794228634059947,-4.5,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
35,250.0,9630,-60.7,-67.7,295.0,10.0,9.063077870366499,-4.226182617406996,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
36,211.6,10668,-58.8,-66.5,265.0,12.0,11.954336377100947,1.045868912971899,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
37,201.5,10973,-58.2,-66.2,285.0,12.0,11.59110991546882,-3.1058285412302435,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
38,200.0,11020,-58.1,-66.1,280.0,12.0,11.817693036146498,-2.0837781320031596,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
39,183.1,11582,-56.9,-64.9,260.0,17.0,16.741731801207536,2.952019020337816,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
40,167.0,12164,-55.7,-63.7,257.0,17.0,16.564291101348996,3.82416792384571,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
41,158.5,12497,-55.5,-63.5,255.0,17.0,16.42073904691416,4.399923766742851,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
42,150.0,12850,-55.3,-63.3,265.0,18.0,17.93150456565142,1.5688033694578485,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
43,137.3,13411,-55.4,-63.4,280.0,22.0,21.665770566268577,-3.820259908672459,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
44,103.0,15240,-55.9,-63.9,260.0,29.0,28.559424837354033,5.0357971523409795,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
45,100.0,15430,-55.9,-63.9,260.0,30.0,29.544232590366242,5.2094453300079095,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
46,98.2,15545,-55.9,-63.9,260.0,30.0,29.544232590366242,5.2094453300079095,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
47,89.6,16130,-55.7,-63.7,263.0,33.0,32.75402300416363,4.021688332369856,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
48,88.2,16231,-54.9,-62.9,263.0,34.0,33.74656915580495,4.1435576757750034,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
49,70.0,17710,-55.1,-63.1,270.0,42.0,42.0,7.715274834628325e-15,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
50,61.0,18593,-54.0,-62.0,275.0,39.0,38.85159322557808,-3.3990739671586576,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
51,56.9,19037,-53.5,-61.5,,,,,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
